nombre_archivo,estado,renta_mensual,superficie_m2,deposito,fecha_inicio,fecha_fin,meses_vigencia,campos_detectados,porcentaje_completitud
T292 CA Plaza Nuevo Mexicali 01032023 28022028.pdf,Baja California,9610.19,279.648,9610.19,01/03/2023,28/02/2028,60,6,85.71
Contrato arrendamiento avanzado Mty.pdf,Nuevo León,165000,520,165000,01/05/2026,30/04/2036,120,6,85.71
Contrato arrendamiento avanzado Pu.pdf,Puebla,110750,410,110750,01/07/2026,30/06/2036,120,6,85.71
Contrato arrendamiento avanzado Qro.pdf,Querétaro,98500,380,98500,01/06/2026,31/05/2036,120,6,85.71
Contrato arrendamiento avanzado Vallarta.pdf,Jalisco,120000,450,120000,01/04/2026,31/03/2036,120,6,85.71
T291 CA 20 de Noviembre 01042023 31032028.pdf,Ciudad de México,119839.32,,239678.64,01/04/2023,31/03/2028,60,5,71.43
T306 CA Sendero Ensenada 01032024 28022029.pdf,Baja California,115000,60.518,,01/03/2024,28/02/2029,60,5,71.43
C02_Contrato_Colima-02.pdf,Colima,3000,,66000,,,,4,57.14
T294 CA Plaza Hamburgo Gomez Palacio.pdf,Durango,91000,469.89,182000,,,60,4,57.14
T290 CA Mexicali Plaza Cachanilla.pdf,Baja California,160000,486.95,320000,,,,3,42.86
T290_CA_Mexicali_Plaza_Cachanilla.pdf,Baja California,160000,486.95,320000,,,,3,42.86
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,r
